strategy,correct,latency_ms,fact_type,distance,is_first,conversation_length
hybrid_r0.9_s0.1,True,0.3497600555419922,city,1,False,10
hybrid_r0.7_s0.3,True,0.3459453582763672,city,1,False,10
hybrid_r0.5_s0.5,True,0.35071372985839844,city,1,False,10
hybrid_r0.3_s0.7,True,0.34332275390625,city,1,False,10
latest,True,0.00095367431640625,hobby,8,False,10
similarity,True,0.3628730773925781,hobby,8,False,10
hybrid_r0.9_s0.1,True,0.3383159637451172,hobby,8,False,10
hybrid_r0.7_s0.3,True,0.3390312194824219,hobby,8,False,10
hybrid_r0.5_s0.5,True,0.3440380096435547,hobby,8,False,10
hybrid_r0.3_s0.7,True,0.37598609924316406,hobby,8,False,10
latest,True,0.001430511474609375,city,7,False,10
similarity,True,0.3540515899658203,city,7,False,10
hybrid_r0.9_s0.1,True,0.3345012664794922,city,7,False,10
hybrid_r0.7_s0.3,True,0.31065940856933594,city,7,False,10
hybrid_r0.5_s0.5,True,0.3304481506347656,city,7,False,10
hybrid_r0.3_s0.7,True,0.34427642822265625,city,7,False,10
latest,True,0.0011920928955078125,color,2,True,10
similarity,True,6.780862808227539,color,2,True,10
hybrid_r0.9_s0.1,True,0.461578369140625,color,2,True,10
hybrid_r0.7_s0.3,True,0.41294097900390625,color,2,True,10
hybrid_r0.5_s0.5,True,0.5526542663574219,color,2,True,10
hybrid_r0.3_s0.7,True,0.6194114685058594,color,2,True,10
latest,True,0.0016689300537109375,city,7,False,10
similarity,True,0.4177093505859375,city,7,False,10
hybrid_r0.9_s0.1,True,0.3180503845214844,city,7,False,10
hybrid_r0.7_s0.3,True,0.3445148468017578,city,7,False,10
hybrid_r0.5_s0.5,True,0.3008842468261719,city,7,False,10
hybrid_r0.3_s0.7,True,0.3018379211425781,city,7,False,10
latest,True,0.0011920928955078125,city,9,True,10
similarity,True,0.9458065032958984,city,9,True,10
hybrid_r0.9_s0.1,True,0.8883476257324219,city,9,True,10
hybrid_r0.7_s0.3,True,0.8940696716308594,city,9,True,10
hybrid_r0.5_s0.5,True,0.9686946868896484,city,9,True,10
hybrid_r0.3_s0.7,True,0.9174346923828125,city,9,True,10
latest,False,0.00095367431640625,color,4,True,10
similarity,False,0.6937980651855469,color,4,True,10
hybrid_r0.9_s0.1,False,0.6098747253417969,color,4,True,10
hybrid_r0.7_s0.3,False,0.6663799285888672,color,4,True,10
hybrid_r0.5_s0.5,False,0.6325244903564453,color,4,True,10
hybrid_r0.3_s0.7,False,0.58746337890625,color,4,True,10
latest,True,0.0011920928955078125,city,4,False,10
similarity,True,0.9393692016601562,city,4,False,10
hybrid_r0.9_s0.1,True,0.8871555328369141,city,4,False,10
hybrid_r0.7_s0.3,True,0.8907318115234375,city,4,False,10
hybrid_r0.5_s0.5,True,0.8921623229980469,city,4,False,10
hybrid_r0.3_s0.7,True,0.9098052978515625,city,4,False,10
latest,True,0.0019073486328125,hobby,1,False,10
similarity,False,1.132965087890625,hobby,1,False,10
hybrid_r0.9_s0.1,True,0.99945068359375,hobby,1,False,10
hybrid_r0.7_s0.3,True,0.9176731109619141,hobby,1,False,10
hybrid_r0.5_s0.5,True,0.8985996246337891,hobby,1,False,10
hybrid_r0.3_s0.7,True,0.8895397186279297,hobby,1,False,10
latest,True,0.0011920928955078125,hobby,5,True,10
similarity,True,0.8246898651123047,hobby,5,True,10
hybrid_r0.9_s0.1,True,0.6415843963623047,hobby,5,True,10
hybrid_r0.7_s0.3,True,0.7574558258056641,hobby,5,True,10
hybrid_r0.5_s0.5,True,0.6582736968994141,hobby,5,True,10
hybrid_r0.3_s0.7,True,0.5979537963867188,hobby,5,True,10
latest,True,0.0011920928955078125,hobby,6,False,10
similarity,True,0.6275177001953125,hobby,6,False,10
hybrid_r0.9_s0.1,True,0.6866455078125,hobby,6,False,10
hybrid_r0.7_s0.3,True,0.728607177734375,hobby,6,False,10
hybrid_r0.5_s0.5,True,0.7252693176269531,hobby,6,False,10
hybrid_r0.3_s0.7,True,0.7436275482177734,hobby,6,False,10
latest,True,0.001430511474609375,pet,6,True,10
similarity,True,0.36263465881347656,pet,6,True,10
hybrid_r0.9_s0.1,True,0.34117698669433594,pet,6,True,10
hybrid_r0.7_s0.3,True,0.3204345703125,pet,6,True,10
hybrid_r0.5_s0.5,True,0.35190582275390625,pet,6,True,10
hybrid_r0.3_s0.7,True,0.3314018249511719,pet,6,True,10
latest,True,0.0011920928955078125,color,6,True,10
similarity,True,0.3445148468017578,color,6,True,10
hybrid_r0.9_s0.1,True,0.3581047058105469,color,6,True,10
hybrid_r0.7_s0.3,True,0.32329559326171875,color,6,True,10
hybrid_r0.5_s0.5,True,0.4944801330566406,color,6,True,10
hybrid_r0.3_s0.7,True,0.4718303680419922,color,6,True,10
latest,True,0.001430511474609375,hobby,5,False,10
similarity,True,0.4963874816894531,hobby,5,False,10
hybrid_r0.9_s0.1,True,0.46515464782714844,hobby,5,False,10
hybrid_r0.7_s0.3,True,0.4839897155761719,hobby,5,False,10
hybrid_r0.5_s0.5,True,0.4525184631347656,hobby,5,False,10
hybrid_r0.3_s0.7,True,0.4780292510986328,hobby,5,False,10
latest,True,0.0011920928955078125,hobby,6,True,10
similarity,True,0.47850608825683594,hobby,6,True,10
hybrid_r0.9_s0.1,True,0.4963874816894531,hobby,6,True,10
hybrid_r0.7_s0.3,True,0.4527568817138672,hobby,6,True,10
hybrid_r0.5_s0.5,True,0.4665851593017578,hobby,6,True,10
hybrid_r0.3_s0.7,True,0.43511390686035156,hobby,6,True,10
latest,False,0.0011920928955078125,pet,6,True,10
similarity,False,0.9944438934326172,pet,6,True,10
hybrid_r0.9_s0.1,False,0.8833408355712891,pet,6,True,10
hybrid_r0.7_s0.3,False,0.8943080902099609,pet,6,True,10
hybrid_r0.5_s0.5,False,0.8907318115234375,pet,6,True,10
hybrid_r0.3_s0.7,False,0.8766651153564453,pet,6,True,10
latest,True,0.0016689300537109375,hobby,4,False,10
similarity,True,0.8008480072021484,hobby,4,False,10
hybrid_r0.9_s0.1,True,0.6651878356933594,hobby,4,False,10
hybrid_r0.7_s0.3,True,0.5922317504882812,hobby,4,False,10
hybrid_r0.5_s0.5,True,1.1615753173828125,hobby,4,False,10
hybrid_r0.3_s0.7,True,0.7426738739013672,hobby,4,False,10
latest,False,0.001430511474609375,pet,6,True,10
similarity,True,0.6911754608154297,pet,6,True,10
hybrid_r0.9_s0.1,False,0.6399154663085938,pet,6,True,10
hybrid_r0.7_s0.3,False,0.820159912109375,pet,6,True,10
hybrid_r0.5_s0.5,False,0.7116794586181641,pet,6,True,10
hybrid_r0.3_s0.7,False,0.6706714630126953,pet,6,True,10
latest,False,0.001430511474609375,hobby,7,True,10
similarity,True,0.6780624389648438,hobby,7,True,10
hybrid_r0.9_s0.1,False,0.6031990051269531,hobby,7,True,10
hybrid_r0.7_s0.3,False,0.7326602935791016,hobby,7,True,10
hybrid_r0.5_s0.5,False,0.6594657897949219,hobby,7,True,10
hybrid_r0.3_s0.7,False,0.6444454193115234,hobby,7,True,10
latest,True,0.0016689300537109375,hobby,7,True,10
similarity,True,0.46133995056152344,hobby,7,True,10
hybrid_r0.9_s0.1,True,0.36787986755371094,hobby,7,True,10
hybrid_r0.7_s0.3,True,0.33402442932128906,hobby,7,True,10
hybrid_r0.5_s0.5,True,0.3383159637451172,hobby,7,True,10
hybrid_r0.3_s0.7,True,0.35071372985839844,hobby,7,True,10
latest,True,0.00095367431640625,pet,7,False,10
similarity,True,0.335693359375,pet,7,False,10
hybrid_r0.9_s0.1,True,0.3249645233154297,pet,7,False,10
hybrid_r0.7_s0.3,True,0.3006458282470703,pet,7,False,10
hybrid_r0.5_s0.5,True,0.3209114074707031,pet,7,False,10
hybrid_r0.3_s0.7,True,0.6051063537597656,pet,7,False,10
latest,True,0.0011920928955078125,hobby,2,True,10
similarity,True,0.41556358337402344,hobby,2,True,10
hybrid_r0.9_s0.1,True,0.3514289855957031,hobby,2,True,10
hybrid_r0.7_s0.3,True,0.33092498779296875,hobby,2,True,10
hybrid_r0.5_s0.5,True,0.3707408905029297,hobby,2,True,10
hybrid_r0.3_s0.7,True,0.33092498779296875,hobby,2,True,10
latest,True,0.0011920928955078125,color,4,False,10
similarity,False,6.532907485961914,color,4,False,10
hybrid_r0.9_s0.1,True,0.6566047668457031,color,4,False,10
hybrid_r0.7_s0.3,True,0.6735324859619141,color,4,False,10
hybrid_r0.5_s0.5,True,0.6604194641113281,color,4,False,10
hybrid_r0.3_s0.7,True,0.5776882171630859,color,4,False,10
latest,False,0.0011920928955078125,city,7,True,10
similarity,True,0.7371902465820312,city,7,True,10
hybrid_r0.9_s0.1,False,0.6582736968994141,city,7,True,10
hybrid_r0.7_s0.3,False,0.5955696105957031,city,7,True,10
hybrid_r0.5_s0.5,False,0.6270408630371094,city,7,True,10
hybrid_r0.3_s0.7,False,0.6067752838134766,city,7,True,10
latest,True,0.0011920928955078125,pet,4,False,10
similarity,True,0.6017684936523438,pet,4,False,10
hybrid_r0.9_s0.1,True,0.6611347198486328,pet,4,False,10
hybrid_r0.7_s0.3,True,0.6432533264160156,pet,4,False,10
hybrid_r0.5_s0.5,True,0.5748271942138672,pet,4,False,10
hybrid_r0.3_s0.7,True,0.6041526794433594,pet,4,False,10
latest,True,0.001430511474609375,hobby,5,False,10
similarity,True,0.3116130828857422,hobby,5,False,10
hybrid_r0.9_s0.1,True,0.31256675720214844,hobby,5,False,10
hybrid_r0.7_s0.3,True,0.3046989440917969,hobby,5,False,10
hybrid_r0.5_s0.5,True,0.286102294921875,hobby,5,False,10
hybrid_r0.3_s0.7,True,0.2837181091308594,hobby,5,False,10
latest,True,0.0011920928955078125,pet,8,False,10
similarity,True,0.32591819763183594,pet,8,False,10
hybrid_r0.9_s0.1,True,0.3006458282470703,pet,8,False,10
hybrid_r0.7_s0.3,True,0.30231475830078125,pet,8,False,10
hybrid_r0.5_s0.5,True,0.30303001403808594,pet,8,False,10
hybrid_r0.3_s0.7,True,0.31495094299316406,pet,8,False,10
latest,False,0.001430511474609375,pet,10,True,10
similarity,False,1.0237693786621094,pet,10,True,10
hybrid_r0.9_s0.1,False,0.9372234344482422,pet,10,True,10
hybrid_r0.7_s0.3,False,0.946044921875,pet,10,True,10
hybrid_r0.5_s0.5,False,0.8943080902099609,pet,10,True,10
hybrid_r0.3_s0.7,False,0.8885860443115234,pet,10,True,10
latest,False,0.001430511474609375,city,3,True,10
similarity,True,0.7774829864501953,city,3,True,10
hybrid_r0.9_s0.1,False,0.5879402160644531,city,3,True,10
hybrid_r0.7_s0.3,False,0.6780624389648438,city,3,True,10
hybrid_r0.5_s0.5,False,0.6651878356933594,city,3,True,10
hybrid_r0.3_s0.7,False,0.5741119384765625,city,3,True,10
latest,True,0.00095367431640625,city,5,True,10
similarity,True,0.33664703369140625,city,5,True,10
hybrid_r0.9_s0.1,True,0.2980232238769531,city,5,True,10
hybrid_r0.7_s0.3,True,0.2865791320800781,city,5,True,10
hybrid_r0.5_s0.5,True,0.30040740966796875,city,5,True,10
hybrid_r0.3_s0.7,True,0.30994415283203125,city,5,True,10
latest,True,0.00095367431640625,city,6,False,10
similarity,True,0.3075599670410156,city,6,False,10
hybrid_r0.9_s0.1,True,0.3070831298828125,city,6,False,10
hybrid_r0.7_s0.3,True,0.3077983856201172,city,6,False,10
hybrid_r0.5_s0.5,True,0.31685829162597656,city,6,False,10
hybrid_r0.3_s0.7,True,0.28395652770996094,city,6,False,10
latest,True,0.0011920928955078125,city,1,False,10
similarity,True,0.3368854522705078,city,1,False,10
hybrid_r0.9_s0.1,True,0.29587745666503906,city,1,False,10
hybrid_r0.7_s0.3,True,0.2865791320800781,city,1,False,10
hybrid_r0.5_s0.5,True,0.35452842712402344,city,1,False,10
hybrid_r0.3_s0.7,True,0.3161430358886719,city,1,False,10
latest,True,0.00095367431640625,pet,2,False,10
similarity,True,0.6778240203857422,pet,2,False,10
hybrid_r0.9_s0.1,True,0.5831718444824219,pet,2,False,10
hybrid_r0.7_s0.3,True,0.5950927734375,pet,2,False,10
hybrid_r0.5_s0.5,True,0.6310939788818359,pet,2,False,10
hybrid_r0.3_s0.7,True,0.5729198455810547,pet,2,False,10
latest,True,0.0007152557373046875,city,3,True,10
similarity,True,0.3457069396972656,city,3,True,10
hybrid_r0.9_s0.1,True,0.29587745666503906,city,3,True,10
hybrid_r0.7_s0.3,True,0.3056526184082031,city,3,True,10
hybrid_r0.5_s0.5,True,0.3476142883300781,city,3,True,10
hybrid_r0.3_s0.7,True,0.32019615173339844,city,3,True,10
latest,True,0.0011920928955078125,hobby,9,True,10
similarity,True,0.33545494079589844,hobby,9,True,10
hybrid_r0.9_s0.1,True,0.3409385681152344,hobby,9,True,10
hybrid_r0.7_s0.3,True,0.3235340118408203,hobby,9,True,10
hybrid_r0.5_s0.5,True,0.2827644348144531,hobby,9,True,10
hybrid_r0.3_s0.7,True,0.3161430358886719,hobby,9,True,10
latest,True,0.000476837158203125,color,9,False,10
similarity,True,0.3056526184082031,color,9,False,10
hybrid_r0.9_s0.1,True,0.28777122497558594,color,9,False,10
hybrid_r0.7_s0.3,True,0.3230571746826172,color,9,False,10
hybrid_r0.5_s0.5,True,0.28824806213378906,color,9,False,10
hybrid_r0.3_s0.7,True,0.2846717834472656,color,9,False,10
latest,True,0.00095367431640625,pet,4,True,10
similarity,True,0.3452301025390625,pet,4,True,10
hybrid_r0.9_s0.1,True,0.29468536376953125,pet,4,True,10
hybrid_r0.7_s0.3,True,0.2849102020263672,pet,4,True,10
hybrid_r0.5_s0.5,True,0.31375885009765625,pet,4,True,10
hybrid_r0.3_s0.7,True,0.2884864807128906,pet,4,True,10
latest,True,0.00095367431640625,city,6,True,10
similarity,True,0.30541419982910156,city,6,True,10
hybrid_r0.9_s0.1,True,0.32210350036621094,city,6,True,10
hybrid_r0.7_s0.3,True,0.28967857360839844,city,6,True,10
hybrid_r0.5_s0.5,True,0.2841949462890625,city,6,True,10
hybrid_r0.3_s0.7,True,0.3619194030761719,city,6,True,10
latest,True,0.00095367431640625,hobby,3,False,10
similarity,True,0.3390312194824219,hobby,3,False,10
hybrid_r0.9_s0.1,True,0.3173351287841797,hobby,3,False,10
hybrid_r0.7_s0.3,True,0.3495216369628906,hobby,3,False,10
hybrid_r0.5_s0.5,True,0.31828880310058594,hobby,3,False,10
hybrid_r0.3_s0.7,True,0.31566619873046875,hobby,3,False,10
latest,True,0.0007152557373046875,color,2,False,10
similarity,True,0.7548332214355469,color,2,False,10
hybrid_r0.9_s0.1,True,0.7090568542480469,color,2,False,10
hybrid_r0.7_s0.3,True,0.6680488586425781,color,2,False,10
hybrid_r0.5_s0.5,True,0.6058216094970703,color,2,False,10
hybrid_r0.3_s0.7,True,0.6699562072753906,color,2,False,10
latest,True,0.0007152557373046875,hobby,6,False,10
similarity,True,0.6372928619384766,hobby,6,False,10
hybrid_r0.9_s0.1,True,0.6299018859863281,hobby,6,False,10
hybrid_r0.7_s0.3,True,0.6582736968994141,hobby,6,False,10
hybrid_r0.5_s0.5,True,0.6058216094970703,hobby,6,False,10
hybrid_r0.3_s0.7,True,1.0752677917480469,hobby,6,False,10
latest,True,0.0011920928955078125,hobby,1,False,10
similarity,True,1.3680458068847656,hobby,1,False,10
hybrid_r0.9_s0.1,True,1.3153553009033203,hobby,1,False,10
hybrid_r0.7_s0.3,True,0.881195068359375,hobby,1,False,10
hybrid_r0.5_s0.5,True,0.7541179656982422,hobby,1,False,10
hybrid_r0.3_s0.7,True,0.6635189056396484,hobby,1,False,10
latest,True,0.0011920928955078125,city,4,False,10
similarity,False,0.6067752838134766,city,4,False,10
hybrid_r0.9_s0.1,True,0.6690025329589844,city,4,False,10
hybrid_r0.7_s0.3,True,0.6501674652099609,city,4,False,10
hybrid_r0.5_s0.5,True,0.5850791931152344,city,4,False,10
hybrid_r0.3_s0.7,True,0.6666183471679688,city,4,False,10
latest,True,0.00095367431640625,pet,1,False,10
similarity,True,0.6780624389648438,pet,1,False,10
hybrid_r0.9_s0.1,True,0.5841255187988281,pet,1,False,10
hybrid_r0.7_s0.3,True,0.6606578826904297,pet,1,False,10
hybrid_r0.5_s0.5,True,0.7314682006835938,pet,1,False,10
hybrid_r0.3_s0.7,True,0.6623268127441406,pet,1,False,10
latest,True,0.0011920928955078125,pet,3,False,10
similarity,False,0.6968975067138672,pet,3,False,10
hybrid_r0.9_s0.1,True,0.8592605590820312,pet,3,False,10
hybrid_r0.7_s0.3,True,0.9224414825439453,pet,3,False,10
hybrid_r0.5_s0.5,True,0.9086132049560547,pet,3,False,10
hybrid_r0.3_s0.7,True,0.9045600891113281,pet,3,False,10
latest,True,0.001430511474609375,color,9,True,10
similarity,True,1.6798973083496094,color,9,True,10
hybrid_r0.9_s0.1,True,0.7951259613037109,color,9,True,10
hybrid_r0.7_s0.3,True,1.6782283782958984,color,9,True,10
hybrid_r0.5_s0.5,True,1.0852813720703125,color,9,True,10
hybrid_r0.3_s0.7,True,1.035451889038086,color,9,True,10
latest,True,0.001430511474609375,color,7,True,10
similarity,True,0.48160552978515625,color,7,True,10
hybrid_r0.9_s0.1,True,0.4229545593261719,color,7,True,10
hybrid_r0.7_s0.3,True,0.5428791046142578,color,7,True,10
hybrid_r0.5_s0.5,True,0.415802001953125,color,7,True,10
hybrid_r0.3_s0.7,True,0.5037784576416016,color,7,True,10
latest,True,0.0011920928955078125,city,3,False,10
similarity,True,0.9622573852539062,city,3,False,10
hybrid_r0.9_s0.1,True,0.8387565612792969,city,3,False,10
hybrid_r0.7_s0.3,True,0.8668899536132812,city,3,False,10
hybrid_r0.5_s0.5,True,0.8597373962402344,city,3,False,10
hybrid_r0.3_s0.7,True,0.9510517120361328,city,3,False,10
latest,True,0.0011920928955078125,pet,4,False,10
similarity,False,0.9591579437255859,pet,4,False,10
hybrid_r0.9_s0.1,True,0.9653568267822266,pet,4,False,10
hybrid_r0.7_s0.3,True,0.9984970092773438,pet,4,False,10
hybrid_r0.5_s0.5,True,1.1072158813476562,pet,4,False,10
hybrid_r0.3_s0.7,True,1.0876655578613281,pet,4,False,10
latest,True,0.001430511474609375,hobby,3,False,10
similarity,True,0.45371055603027344,hobby,3,False,10
hybrid_r0.9_s0.1,True,0.6039142608642578,hobby,3,False,10
hybrid_r0.7_s0.3,True,0.32591819763183594,hobby,3,False,10
hybrid_r0.5_s0.5,True,0.3323554992675781,hobby,3,False,10
hybrid_r0.3_s0.7,True,0.347137451171875,hobby,3,False,10
latest,True,0.0011920928955078125,pet,8,True,10
similarity,True,0.3161430358886719,pet,8,True,10
hybrid_r0.9_s0.1,True,0.3650188446044922,pet,8,True,10
hybrid_r0.7_s0.3,True,0.3383159637451172,pet,8,True,10
hybrid_r0.5_s0.5,True,0.3447532653808594,pet,8,True,10
hybrid_r0.3_s0.7,True,0.4570484161376953,pet,8,True,10
latest,True,0.001430511474609375,hobby,5,False,10
similarity,True,0.37169456481933594,hobby,5,False,10
hybrid_r0.9_s0.1,True,0.4475116729736328,hobby,5,False,10
hybrid_r0.7_s0.3,True,0.3924369812011719,hobby,5,False,10
hybrid_r0.5_s0.5,True,0.3387928009033203,hobby,5,False,10
hybrid_r0.3_s0.7,True,0.4138946533203125,hobby,5,False,10
latest,True,0.00095367431640625,city,4,False,10
similarity,True,0.3139972686767578,city,4,False,10
hybrid_r0.9_s0.1,True,0.3573894500732422,city,4,False,10
hybrid_r0.7_s0.3,True,0.30875205993652344,city,4,False,10
hybrid_r0.5_s0.5,True,0.2956390380859375,city,4,False,10
hybrid_r0.3_s0.7,True,0.3609657287597656,city,4,False,10
latest,True,0.00095367431640625,pet,8,True,10
similarity,True,0.3268718719482422,pet,8,True,10
hybrid_r0.9_s0.1,True,0.29754638671875,pet,8,True,10
hybrid_r0.7_s0.3,True,0.4048347473144531,pet,8,True,10
hybrid_r0.5_s0.5,True,0.3304481506347656,pet,8,True,10
hybrid_r0.3_s0.7,True,0.3237724304199219,pet,8,True,10
latest,True,0.001430511474609375,hobby,1,False,10
similarity,True,0.9334087371826172,hobby,1,False,10
hybrid_r0.9_s0.1,True,0.9653568267822266,hobby,1,False,10
hybrid_r0.7_s0.3,True,0.9508132934570312,hobby,1,False,10
hybrid_r0.5_s0.5,True,0.8766651153564453,hobby,1,False,10
hybrid_r0.3_s0.7,True,1.0378360748291016,hobby,1,False,10
latest,True,0.0016689300537109375,hobby,10,True,10
similarity,True,0.4382133483886719,hobby,10,True,10
hybrid_r0.9_s0.1,True,0.3764629364013672,hobby,10,True,10
hybrid_r0.7_s0.3,True,0.3330707550048828,hobby,10,True,10
hybrid_r0.5_s0.5,True,0.33545494079589844,hobby,10,True,10
hybrid_r0.3_s0.7,True,0.2868175506591797,hobby,10,True,10
latest,False,0.00095367431640625,color,9,True,10
similarity,False,0.6330013275146484,color,9,True,10
hybrid_r0.9_s0.1,False,0.5908012390136719,color,9,True,10
hybrid_r0.7_s0.3,False,0.6616115570068359,color,9,True,10
hybrid_r0.5_s0.5,False,0.6420612335205078,color,9,True,10
hybrid_r0.3_s0.7,False,0.5602836608886719,color,9,True,10
latest,True,0.0011920928955078125,pet,2,False,10
similarity,True,0.33783912658691406,pet,2,False,10
hybrid_r0.9_s0.1,True,0.2942085266113281,pet,2,False,10
hybrid_r0.7_s0.3,True,0.2846717834472656,pet,2,False,10
hybrid_r0.5_s0.5,True,0.3886222839355469,pet,2,False,10
hybrid_r0.3_s0.7,True,0.3845691680908203,pet,2,False,10
latest,True,0.0011920928955078125,hobby,4,False,10
similarity,True,0.4343986511230469,hobby,4,False,10
hybrid_r0.9_s0.1,True,0.3466606140136719,hobby,4,False,10
hybrid_r0.7_s0.3,True,0.2837181091308594,hobby,4,False,10
hybrid_r0.5_s0.5,True,0.37479400634765625,hobby,4,False,10
hybrid_r0.3_s0.7,True,0.301361083984375,hobby,4,False,10
latest,True,0.001430511474609375,city,5,False,10
similarity,True,0.3337860107421875,city,5,False,10
hybrid_r0.9_s0.1,True,0.3561973571777344,city,5,False,10
hybrid_r0.7_s0.3,True,0.31757354736328125,city,5,False,10
hybrid_r0.5_s0.5,True,0.34332275390625,city,5,False,10
hybrid_r0.3_s0.7,True,0.39887428283691406,city,5,False,10
latest,True,0.0011920928955078125,pet,2,True,10
similarity,True,0.33974647521972656,pet,2,True,10
hybrid_r0.9_s0.1,True,0.3597736358642578,pet,2,True,10
hybrid_r0.7_s0.3,True,0.29158592224121094,pet,2,True,10
hybrid_r0.5_s0.5,True,0.28634071350097656,pet,2,True,10
hybrid_r0.3_s0.7,True,0.3046989440917969,pet,2,True,10
latest,True,0.001430511474609375,color,2,False,10
similarity,True,0.6048679351806641,color,2,False,10
hybrid_r0.9_s0.1,True,0.6725788116455078,color,2,False,10
hybrid_r0.7_s0.3,True,0.6411075592041016,color,2,False,10
hybrid_r0.5_s0.5,True,0.6375312805175781,color,2,False,10
hybrid_r0.3_s0.7,True,0.7028579711914062,color,2,False,10
latest,True,0.00095367431640625,hobby,10,True,10
similarity,True,0.31828880310058594,hobby,10,True,10
hybrid_r0.9_s0.1,True,0.3724098205566406,hobby,10,True,10
hybrid_r0.7_s0.3,True,0.3509521484375,hobby,10,True,10
hybrid_r0.5_s0.5,True,0.3223419189453125,hobby,10,True,10
hybrid_r0.3_s0.7,True,0.4210472106933594,hobby,10,True,10
latest,True,0.0011920928955078125,hobby,10,True,10
similarity,True,0.35071372985839844,hobby,10,True,10
hybrid_r0.9_s0.1,True,0.3609657287597656,hobby,10,True,10
hybrid_r0.7_s0.3,True,0.34046173095703125,hobby,10,True,10
hybrid_r0.5_s0.5,True,0.3268718719482422,hobby,10,True,10
hybrid_r0.3_s0.7,True,0.35190582275390625,hobby,10,True,10
latest,True,0.0011920928955078125,pet,9,True,10
similarity,True,0.34809112548828125,pet,9,True,10
hybrid_r0.9_s0.1,True,0.3235340118408203,pet,9,True,10
hybrid_r0.7_s0.3,True,0.3998279571533203,pet,9,True,10
hybrid_r0.5_s0.5,True,0.3204345703125,pet,9,True,10
hybrid_r0.3_s0.7,True,0.3142356872558594,pet,9,True,10
latest,True,0.00095367431640625,city,2,False,10
similarity,True,0.6744861602783203,city,2,False,10
hybrid_r0.9_s0.1,True,0.7750988006591797,city,2,False,10
hybrid_r0.7_s0.3,True,0.6806850433349609,city,2,False,10
hybrid_r0.5_s0.5,True,0.6794929504394531,city,2,False,10
hybrid_r0.3_s0.7,True,0.7004737854003906,city,2,False,10
latest,True,0.0016689300537109375,pet,6,False,10
similarity,True,0.3838539123535156,pet,6,False,10
hybrid_r0.9_s0.1,True,0.335693359375,pet,6,False,10
hybrid_r0.7_s0.3,True,0.31876564025878906,pet,6,False,10
hybrid_r0.5_s0.5,True,0.3426074981689453,pet,6,False,10
hybrid_r0.3_s0.7,True,0.3230571746826172,pet,6,False,10
latest,False,0.0011920928955078125,color,7,True,10
similarity,False,0.6856918334960938,color,7,True,10
hybrid_r0.9_s0.1,False,0.6263256072998047,color,7,True,10
hybrid_r0.7_s0.3,False,0.6551742553710938,color,7,True,10
hybrid_r0.5_s0.5,False,0.6465911865234375,color,7,True,10
hybrid_r0.3_s0.7,False,0.6165504455566406,color,7,True,10
latest,True,0.00095367431640625,city,1,False,10
similarity,False,0.9865760803222656,city,1,False,10
hybrid_r0.9_s0.1,True,0.9465217590332031,city,1,False,10
hybrid_r0.7_s0.3,True,0.8831024169921875,city,1,False,10
